,Unnamed: 0,Season,Game_ID,PLAYER_NAME,Team,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
397858,634676,1984,28400019,Michael Jordan,CHI,"OCT 29, 1984",CHI vs. MIL,W,34,13,24.0,0.542,0.0,0.0,,11,13.0,0.846,2.0,2.0,4.0,5.0,6.0,2.0,3.0,4.0,37,,0
397859,634675,1984,28400025,Michael Jordan,CHI,"OCT 30, 1984",CHI @ KCK,W,36,8,21.0,0.381,0.0,0.0,,9,9.0,1.0,2.0,2.0,4.0,5.0,3.0,1.0,6.0,5.0,25,,0
397860,634674,1984,28400035,Michael Jordan,CHI,"NOV 01, 1984",CHI @ DEN,L,33,7,15.0,0.467,0.0,0.0,,3,4.0,0.75,3.0,2.0,5.0,5.0,1.0,1.0,2.0,4.0,17,,0
397861,634677,1984,28400013,Michael Jordan,CHI,"OCT 27, 1984",CHI @ MIL,L,34,8,13.0,0.615,0.0,0.0,,5,5.0,1.0,3.0,2.0,5.0,5.0,2.0,1.0,3.0,4.0,21,,0
397862,634678,1984,28400005,Michael Jordan,CHI,"OCT 26, 1984",CHI vs. WAS,W,40,5,16.0,0.313,0.0,0.0,,6,7.0,0.857,1.0,5.0,6.0,7.0,2.0,4.0,5.0,2.0,16,,0
397863,634659,1984,28400214,Michael Jordan,CHI,"DEC 04, 1984",CHI vs. NJN,W,35,7,13.0,0.538,0.0,0.0,,6,6.0,1.0,1.0,2.0,3.0,6.0,1.0,0.0,3.0,3.0,20,,0
397864,634648,1984,28400356,Michael Jordan,CHI,"DEC 29, 1984",CHI vs. ATL,L,39,7,18.0,0.389,0.0,0.0,,7,9.0,0.778,1.0,3.0,4.0,5.0,0.0,0.0,3.0,6.0,21,,0
397865,634669,1984,28400108,Michael Jordan,CHI,"NOV 15, 1984",CHI vs. BOS,L,33,12,24.0,0.5,0.0,1.0,0.0,3,3.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,27,,0
397866,634670,1984,28400097,Michael Jordan,CHI,"NOV 13, 1984",CHI vs. SAN,W,43,18,27.0,0.667,1.0,1.0,1.0,8,11.0,0.727,2.0,8.0,10.0,4.0,3.0,2.0,4.0,4.0,45,,0
397867,634671,1984,28400083,Michael Jordan,CHI,"NOV 10, 1984",CHI @ IND,W,42,9,22.0,0.409,0.0,0.0,,9,12.0,0.75,2.0,7.0,9.0,4.0,2.0,5.0,3.0,4.0,27,,0
397868,634672,1984,28400072,Michael Jordan,CHI,"NOV 08, 1984",CHI @ NYK,W,33,15,22.0,0.682,0.0,0.0,,3,4.0,0.75,4.0,4.0,8.0,5.0,3.0,2.0,5.0,2.0,33,,0
397869,634668,1984,28400121,Michael Jordan,CHI,"NOV 17, 1984",CHI vs. PHL,L,44,4,17.0,0.235,0.0,0.0,,8,8.0,1.0,0.0,5.0,5.0,7.0,5.0,2.0,4.0,5.0,16,,0
397870,634667,1984,28400130,Michael Jordan,CHI,"NOV 19, 1984",CHI vs. IND,L,39,11,26.0,0.423,0.0,3.0,0.0,12,16.0,0.75,2.0,3.0,5.0,2.0,2.0,1.0,3.0,3.0,34,,0
397871,634666,1984,28400140,Michael Jordan,CHI,"NOV 21, 1984",CHI @ MIL,L,42,11,22.0,0.5,0.0,0.0,,13,14.0,0.929,4.0,9.0,13.0,2.0,2.0,2.0,6.0,3.0,35,,0
397872,634665,1984,28400149,Michael Jordan,CHI,"NOV 23, 1984",CHI @ SEA,W,30,9,13.0,0.692,0.0,0.0,,5,6.0,0.833,0.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,23,,0
397873,634649,1984,28400340,Michael Jordan,CHI,"DEC 27, 1984",CHI vs. CLE,W,44,20,33.0,0.606,0.0,1.0,0.0,5,5.0,1.0,2.0,5.0,7.0,11.0,3.0,0.0,3.0,1.0,45,,0
397874,634650,1984,28400317,Michael Jordan,CHI,"DEC 22, 1984",CHI vs. BOS,W,35,12,18.0,0.667,0.0,0.0,,8,8.0,1.0,1.0,11.0,12.0,8.0,0.0,3.0,3.0,3.0,32,,0
397875,634651,1984,28400305,Michael Jordan,CHI,"DEC 20, 1984",CHI @ ATL,W,41,12,22.0,0.545,0.0,0.0,,10,16.0,0.625,4.0,4.0,8.0,7.0,5.0,1.0,7.0,5.0,34,,0
397876,634652,1984,28400293,Michael Jordan,CHI,"DEC 18, 1984",CHI vs. HOU,L,45,8,20.0,0.4,0.0,1.0,0.0,2,4.0,0.5,1.0,2.0,3.0,8.0,3.0,0.0,1.0,2.0,18,,0
397877,634653,1984,28400278,Michael Jordan,CHI,"DEC 15, 1984",CHI vs. PHL,L,27,7,16.0,0.438,0.0,0.0,,0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,14,,0
397878,634654,1984,28400274,Michael Jordan,CHI,"DEC 14, 1984",CHI @ NJN,L,44,12,25.0,0.48,0.0,0.0,,10,10.0,1.0,2.0,6.0,8.0,8.0,1.0,0.0,0.0,4.0,34,,0
397879,634655,1984,28400256,Michael Jordan,CHI,"DEC 12, 1984",CHI @ DET,L,30,6,17.0,0.353,0.0,2.0,0.0,9,10.0,0.9,0.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,21,,0
397880,634656,1984,28400249,Michael Jordan,CHI,"DEC 11, 1984",CHI vs. DET,L,37,13,28.0,0.464,0.0,1.0,0.0,1,3.0,0.333,1.0,7.0,8.0,6.0,2.0,0.0,3.0,4.0,27,,0
397881,634658,1984,28400228,Michael Jordan,CHI,"DEC 07, 1984",CHI vs. NYK,W,43,8,16.0,0.5,0.0,1.0,0.0,5,7.0,0.714,1.0,1.0,2.0,3.0,2.0,0.0,6.0,5.0,21,,0
397882,634660,1984,28400206,Michael Jordan,CHI,"DEC 02, 1984",CHI @ LAL,W,42,7,13.0,0.538,0.0,0.0,,6,8.0,0.75,2.0,0.0,2.0,3.0,1.0,1.0,4.0,3.0,20,,0
397883,634673,1984,28400065,Michael Jordan,CHI,"NOV 07, 1984",CHI @ DET,W,27,9,19.0,0.474,0.0,0.0,,7,9.0,0.778,1.0,3.0,4.0,3.0,3.0,1.0,5.0,5.0,25,,0
397884,634661,1984,28400189,Michael Jordan,CHI,"NOV 30, 1984",CHI @ LAC,W,37,9,15.0,0.6,0.0,0.0,,2,4.0,0.5,2.0,3.0,5.0,5.0,3.0,0.0,4.0,4.0,20,,0
397885,634662,1984,28400187,Michael Jordan,CHI,"NOV 29, 1984",CHI @ PHX,L,30,9,17.0,0.529,1.0,1.0,1.0,3,4.0,0.75,1.0,2.0,3.0,2.0,2.0,0.0,2.0,5.0,22,,0
397886,634663,1984,28400171,Michael Jordan,CHI,"NOV 27, 1984",CHI @ GOS,L,24,6,10.0,0.6,0.0,0.0,,1,1.0,1.0,0.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,13,,0
397887,634664,1984,28400163,Michael Jordan,CHI,"NOV 24, 1984",CHI @ POR,L,41,10,24.0,0.417,0.0,1.0,0.0,10,10.0,1.0,3.0,3.0,6.0,8.0,3.0,1.0,4.0,4.0,30,,0
397888,634657,1984,28400234,Michael Jordan,CHI,"DEC 08, 1984",CHI vs. DAL,W,35,10,23.0,0.435,0.0,0.0,,0,0.0,,4.0,3.0,7.0,2.0,0.0,2.0,2.0,3.0,20,,0
417196,634647,1985,28400365,Michael Jordan,CHI,"JAN 02, 1985",CHI @ ATL,L,34,10,14.0,0.714,0.0,0.0,,5,6.0,0.833,1.0,6.0,7.0,4.0,3.0,0.0,4.0,2.0,25,,0
417197,634629,1985,28400582,Michael Jordan,CHI,"FEB 12, 1985",CHI vs. DET,W,45,19,31.0,0.613,0.0,0.0,,11,13.0,0.846,7.0,8.0,15.0,5.0,4.0,0.0,6.0,5.0,49,,0
417198,634630,1985,28400570,Michael Jordan,CHI,"FEB 07, 1985",CHI @ CLE,L,38,8,17.0,0.471,0.0,0.0,,7,8.0,0.875,3.0,1.0,4.0,7.0,4.0,0.0,7.0,6.0,23,,0
417199,634631,1985,28400555,Michael Jordan,CHI,"FEB 05, 1985",CHI vs. BOS,L,45,14,25.0,0.56,0.0,1.0,0.0,13,14.0,0.929,4.0,8.0,12.0,7.0,4.0,1.0,1.0,6.0,41,,0
417200,634632,1985,28400533,Michael Jordan,CHI,"FEB 01, 1985",CHI @ PHL,L,37,9,16.0,0.563,0.0,2.0,0.0,13,14.0,0.929,0.0,6.0,6.0,5.0,2.0,0.0,3.0,5.0,31,,0
417201,634633,1985,28400521,Michael Jordan,CHI,"JAN 30, 1985",CHI @ WAS,L,41,12,19.0,0.632,0.0,0.0,,14,15.0,0.933,0.0,7.0,7.0,8.0,4.0,0.0,4.0,3.0,38,,0
417202,634634,1985,28400518,Michael Jordan,CHI,"JAN 29, 1985",CHI vs. KCK,W,38,11,17.0,0.647,0.0,0.0,,4,6.0,0.667,0.0,7.0,7.0,7.0,3.0,0.0,1.0,3.0,26,,0
417203,634635,1985,28400496,Michael Jordan,CHI,"JAN 26, 1985",CHI vs. ATL,W,43,17,24.0,0.708,0.0,0.0,,11,11.0,1.0,1.0,7.0,8.0,10.0,0.0,4.0,5.0,3.0,45,,0
417204,634636,1985,28400494,Michael Jordan,CHI,"JAN 25, 1985",CHI vs. SEA,W,37,6,15.0,0.4,0.0,1.0,0.0,10,10.0,1.0,2.0,2.0,4.0,8.0,4.0,2.0,1.0,3.0,22,,0
417205,634637,1985,28400478,Michael Jordan,CHI,"JAN 22, 1985",CHI vs. POR,W,39,11,20.0,0.55,0.0,1.0,0.0,7,7.0,1.0,1.0,11.0,12.0,5.0,2.0,0.0,4.0,4.0,29,,0
417206,634638,1985,28400461,Michael Jordan,CHI,"JAN 19, 1985",CHI @ IND,L,41,15,27.0,0.556,2.0,4.0,0.5,6,8.0,0.75,2.0,10.0,12.0,7.0,3.0,2.0,2.0,5.0,38,,0
417207,634639,1985,28400450,Michael Jordan,CHI,"JAN 17, 1985",CHI vs. CLE,W,40,8,20.0,0.4,0.0,0.0,,9,12.0,0.75,0.0,4.0,4.0,6.0,2.0,2.0,3.0,4.0,25,,0
417208,634640,1985,28400447,Michael Jordan,CHI,"JAN 16, 1985",CHI @ NJN,L,44,8,17.0,0.471,0.0,1.0,0.0,11,12.0,0.917,1.0,6.0,7.0,7.0,2.0,0.0,6.0,3.0,27,,0
417209,634641,1985,28400433,Michael Jordan,CHI,"JAN 14, 1985",CHI vs. DEN,W,43,11,16.0,0.688,0.0,0.0,,13,15.0,0.867,2.0,12.0,14.0,15.0,3.0,1.0,6.0,3.0,35,,0
